date_from,date_to,count,avg_price,price_per_sqm_40,price_per_sqm_50,price_per_sqm_60,price_per_sqm_70,price_per_sqm_80,price_per_sqm_90,price_per_sqm_100,avg_sqm_price
2023-09-01,2023-10-01,60000,5056179.300000001,73710.0,74831.45364,66167.28466666667,69444.0,68512.5,69496.45622222223,75599.99999999999,71108.813504127
2023-10-01,2023-11-01,60000,5103000.0,69936.875,69091.99999999999,62270.41666666666,66371.42857142857,70406.25,58800.0,67589.99999999999,66352.42431972788
2023-11-01,2023-12-01,60000,4843950.0,59141.25,67589.99999999999,56324.99999999999,61689.28571428572,70218.75,61584.444444444445,67410.00000000001,63422.67573696144
2023-12-01,2024-01-01,60000,5243000.0,59920.0,70615.99999999999,59283.350000000006,64200.0,70740.0,63804.444444444445,69282.50000000001,65406.61349206349
2024-01-01,2024-02-01,60000,5238000.0,71520.0,70615.99999999999,67200.0,68571.42857142857,72750.0,64000.0,69839.99999999999,69213.91836734694
2024-02-01,2024-03-01,60000,4800000.0,79847.50000000001,76342.00000000001,71408.33333333333,73448.57142857143,84000.0,66133.33333333333,86400.0,76797.10544217688
2024-03-01,2024-04-01,60000,4950000.0,82768.75000000001,84042.0,77900.0,79569.28571428571,97375.00000000001,77900.00000000001,91080.0,84376.43367346938
2024-04-01,2024-05-01,60000,5200000.0,76220.1,77600.0,78870.0,73201.42857142857,90000.0,81400.0,86000.0,80470.21836734693
2024-05-01,2024-06-01,60000,5125000.0,75850.0,77080.0,79300.0,70285.71428571429,76500.0,82222.22222222222,79950.0,77312.56235827666
2024-06-01,2024-07-01,60000,4915900.0,78925.0,76260.0,75396.0,70285.71428571429,79437.5,76906.66666666667,82614.795,77117.953707483
2024-07-01,2024-08-01,45545,4861600.0,79983.75,75808.00000000001,72712.5,76220.0,77386.875,77002.5,94760.0,79124.80357142857
2024-08-01,2024-09-01,23244,4362750.0,0.0,74617.0,68557.49999999999,77164.28571428571,67218.4375,74744.44444444444,91410.0,64815.95252267573
2024-09-01,2024-10-01,12540,4150000.0,77812.5,77097.00000000001,65673.40416666666,72241.42857142857,78236.875,73688.88888888889,78755.00000000001,74786.44237528344
2024-10-01,2024-11-01,14575,4623150.0,76164.375,81175.85,63556.66666666667,71400.0,82950.0,73688.88888888889,79114.175,75435.70793650793
2024-11-01,2024-12-01,15065,4734700.0,72887.5,81634.0,69416.66666666667,71400.0,104750.0,69833.33333333333,77515.0,78205.21428571429
2024-12-01,2025-01-01,13273,4986100.0,79324.47624999999,92180.0,75420.0,74821.42857142857,109987.5,69833.33333333333,79580.0,83020.96259353742
2025-01-01,2025-02-01,12483,5034000.0,78656.25,83420.0,74672.08333333333,77907.14285714286,88687.5,77877.77777777778,78866.00000000001,80012.39342403629
2025-02-01,2025-03-01,6456,4824250.0,78131.875,82641.5,74810.83333333333,83570.39285714286,83873.78125,86696.66666666667,65022.5,79249.64987244898
